activity	automated	case_id	event_detail	event_end	event_start	team	user
Approve invoice	False	111854	Approve hierarchy (level 2)	2017-08-27 09:10:30	2017-08-27 09:10:30	Other	Veronica Spears
Approve invoice	False	111855	Approve hierarchy (level 1)	2017-08-27 10:04:26	2017-08-27 10:04:26	Other	Mona Sargent
Pay invoice	False	111939	Bank account 4841658	2017-08-26 11:28:38		Finance	Cullen Combs
Pay invoice	False	112023	Bank account 5541728	2017-08-27 11:39:18		Finance	Cullen Combs
Pay invoice	False	112099	Bank account 6251799	2017-09-16 12:42:34	2017-09-16 12:42:34	Finance	Medge Patel
Approve invoice	False	112153	Approve hierarchy (level 1)	2017-08-31 14:56:48	2017-08-31 14:56:48	Other	Kylie Guy
Pay employee reimbursement	False	112252	Bank account 7551929	2017-08-28 15:00:09	2017-08-28 15:00:09	Finance	Medge Patel
Approve invoice	False	112332	Approve hierarchy (level 2)	2017-09-01 08:01:25	2017-09-01 01:13:29.400	Line management	Griffin Donaldson
Pay invoice	False	112452	Bank account 9312105	2017-09-02 11:19:47	2017-09-02 11:19:47	Finance	Medge Patel
Final check of invoice	False	112497	Checked by Adria Franks	2017-09-02 10:59:31	2017-09-01 15:30:35	Purchasing	Adria Franks
Approve invoice	False	112522	Approve hierarchy (level 2)	2017-09-16 13:39:53	2017-09-16 13:39:53	Other	Jasmine Snyder
Final check of invoice	False	112542	Checked by Chaim Perez	2017-09-02 11:20:49	2017-09-02 11:20:49	Other	Chaim Perez
Pay invoice	False	112551	Bank account 5402195	2017-09-04 19:34:19	2017-09-04 06:32:51.400	Controlling	Fiona Luna
Checked and approved	False	112613	Checked by Autumn Higgins	2017-09-02 16:46:23	2017-09-02 14:15:53	Line management	Autumn Higgins
Request data	False	112816	Request sent: 2017-09-03	2017-09-04 10:43:21	2017-09-03 20:18:45.667	Controlling	Macy Hurst
Pay invoice	False	112821	Bank account 7582413	2017-09-09 10:37:29	2017-09-08 23:26:44.333	Controlling	Macy Hurst
Approve invoice	False	112848	Approve hierarchy (level 3)	2017-09-09 14:28:46	2017-09-09 01:20:59.500	Line management	Eden Morrow
Final check of invoice	False	112893	Checked by Xander Pittman	2017-09-08 14:49:14	2017-09-08 14:49:14	Other	Xander Pittman
Approve invoice	False	112939	Approve hierarchy (level 3)	2017-09-10 10:37:15		Other	Upton Watkins
Request data	False	112997	Request sent: 2017-09-04	2017-09-04 13:41:35	2017-09-04 12:07:52.667	Controlling	Gary Le
Approve invoice	False	113146	Approve hierarchy (level 1)	2017-09-22 09:55:25		Other	Thor Mccray
Approve invoice	False	113180	Approve hierarchy (level 2)	2017-09-08 15:08:51	2017-09-08 15:00:04.333	Line management	Kiona Sanchez
Final check of invoice	False	113279	Checked by Michael Castaneda	2017-09-08 11:03:51	2017-09-08 11:02:55	Purchasing	Michael Castaneda
Pay invoice	False	113305	Bank account 6981497	2017-09-10 12:30:12	2017-09-08 14:40:44.667	Controlling	Macy Hurst
Pay invoice	False	113553	Bank account 9151714	2017-09-15 09:55:09	2017-09-15 09:55:09	Administration	Hunter Garcia
Pay invoice	False	113573	Bank account 9321731	2017-09-18 12:44:44	2017-09-18 12:44:44	Finance	Rebecca Love
Final check of invoice	False	113630	Checked by Alden Baxter	2017-09-10 11:44:47	2017-09-10 05:48:44.500	Purchasing	Alden Baxter
Final check of invoice	False	113673	Checked by Mechelle Koch	2017-09-10 11:59:28		Other	Mechelle Koch
Approve invoice	False	113691	Approve hierarchy (level 3)	2017-09-11 11:35:08	2017-09-11 11:06:37.600	Line management	Griffin Donaldson
Final check of invoice	False	113934	Checked by Aaron Downs	2017-09-16 16:45:57	2017-09-16 16:45:57	Administration	Aaron Downs
Approve invoice	False	113999	Approve hierarchy (level 2)	2017-09-18 13:48:17	2017-09-17 15:34:51	Line management	Eden Morrow
Final check of invoice	False	114023	Checked by Uma Rocha	2017-09-11 13:11:17	2017-09-11 13:11:17	Other	Uma Rocha
Final check of invoice	False	114085	Checked by John Tanner	2017-09-10 15:13:14	2017-09-10 14:07:48.500	Purchasing	John Tanner
Approve invoice	False	114144	Approve hierarchy (level 2)	2017-09-14 09:50:37	2017-09-14 09:50:37	Other	Natalie Bowen
Final check of invoice	True	114222	Checked by System	2017-09-11 14:30:16	2017-09-11 14:30:16	Auto-processor	System
Pay invoice	False	114241	Bank account 5772338	2017-09-16 14:50:30	2017-09-16 12:49:01.600	Controlling	Fiona Luna
Request data	False	114340	Request sent: 2017-09-15	2017-09-15 08:30:11	2017-09-15 02:30:22.667	Controlling	Clio Butler
Pay invoice	False	114358	Bank account 6802441	2017-09-21 18:55:08	2017-09-18 08:23:30.667	Controlling	Alan Boyer
Check received invoice	False	114485	Checked by Macy Hurst	2017-09-15 16:30:38	2017-09-15 16:30:36.667	Controlling	Macy Hurst
Final check of invoice	False	114516	Checked by Myra Valentine	2017-09-17 11:26:38	2017-09-16 23:13:29.500	Purchasing	Myra Valentine
Final check of invoice	False	114579	Checked by Shoshana Malone	2017-09-17 09:26:34	2017-09-17 09:26:28	Purchasing	Shoshana Malone
Final check of invoice	False	114595	Checked by Hashim Salinas	2017-10-12 16:15:50	2017-10-12 16:15:50	Other	Hashim Salinas
Pay invoice	False	114603	Bank account 9052666	2017-09-18 12:59:41	2017-09-18 12:59:41	Administration	Hunter Garcia
Request data	False	114662	Request sent: 2017-09-20	2017-09-21 09:38:11	2017-09-20 03:30:49.333	Controlling	Gary Le
Final check of invoice	False	107203	Checked by Vivian Nielsen	2017-07-14 15:15:46	2017-07-14 15:15:46	Other	Vivian Nielsen
Approve invoice	False	107315	Approve hierarchy (level 2)	2017-07-09 10:01:25	2017-07-08 23:02:03.500	Financial approval	Lunea Fitzgerald
Check received invoice	False	107349	Checked by Lars Walker	2017-07-06 10:31:56	2017-07-06 10:31:56	Finance	Lars Walker
Approve invoice	False	107367	Approve hierarchy (level 3)	2017-07-07 11:46:19	2017-07-07 11:46:19	Other	Ruby Rojas
Final check of invoice	False	107381	Checked by Kieran Mclaughlin	2017-07-06 13:15:24	2017-07-06 13:15:24	Other	Kieran Mclaughlin
Approve invoice	False	107458	Approve hierarchy (level 3)	2017-07-23 13:48:27	2017-07-22 21:24:42	Line management	Kiona Sanchez
Final check of invoice	True	107466	Checked by System	2017-07-16 10:52:00	2017-07-16 10:52:00	Auto-processor	System
Pay invoice	False	107706	Bank account 5781915	2017-07-08 13:54:05	2017-07-08 13:54:05	Finance	Medge Patel
Final check of invoice	False	107739	Checked by Eaton Hyde	2017-07-09 11:06:28	2017-07-09 09:01:56	Purchasing	Eaton Hyde
Final check of invoice	False	107762	Checked by Walter Mack	2017-07-08 15:08:45	2017-07-08 15:08:45	Other	Walter Mack
Approve invoice	False	107864	Approve hierarchy (level 1)	2017-07-08 16:45:58	2017-07-08 16:45:58	Other	Inez Burns
Approve invoice	False	107926	Approve hierarchy (level 3)	2017-07-09 13:24:05	2017-07-09 13:24:05	Other	Veronica Spears
Final check of invoice	True	107941	Checked by System	2017-07-22 11:09:47	2017-07-22 11:09:47	Auto-processor	System
Final check of invoice	False	107969	Checked by Vivian Nielsen	2017-07-13 18:06:13	2017-07-13 18:06:13	Other	Vivian Nielsen
Approve invoice	False	108010	Approve hierarchy (level 2)	2017-08-26 11:50:57	2017-08-26 11:50:57	Other	Murphy Hopper
Final check of invoice	False	108157	Checked by Aaron Downs	2017-07-13 11:36:14	2017-07-13 11:36:14	Administration	Aaron Downs
Pay invoice	False	108176	Bank account 5212339	2017-07-27 12:24:20	2017-07-25 20:46:06.800	Controlling	Fiona Luna
Final check of invoice	False	108195	Checked by Aaron Downs	2017-08-28 13:27:48	2017-08-28 13:27:48	Administration	Aaron Downs
Approve invoice	False	108273	Approve hierarchy (level 1)	2017-07-14 15:27:35	2017-07-14 14:27:39	Financial approval	Naida Ortiz
Pay invoice	False	108514	Bank account 8322650	2017-07-17 09:53:24	2017-07-17 09:53:24	Finance	Medge Patel
Final check of invoice	True	108649	Checked by System	2017-07-16 13:51:37	2017-07-16 13:51:37	Auto-processor	System
Pay invoice	False	108720	Bank account 5391501	2017-07-21 09:56:10	2017-07-21 09:56:10	Administration	Hunter Garcia
Checked and approved	False	108793	Checked by Autumn Higgins	2017-07-17 09:33:56	2017-07-17 09:28:07.333	Line management	Autumn Higgins
Pay invoice	False	108967	Bank account 7691731	2017-07-22 09:15:10	2017-07-22 09:15:10	Finance	Rebecca Love
Approve invoice	False	109211	Approve hierarchy (level 3)	2017-08-05 14:53:15	2017-08-03 23:20:58.333	Financial approval	Claire Frost
Approve invoice	False	109291	Approve hierarchy (level 2)	2017-07-30 09:29:17	2017-07-30 09:29:17	Other	Kylie Guy
Pay invoice	False	109381	Bank account 6542097	2017-07-28 08:29:33	2017-07-28 08:29:33	Finance	Rebecca Love
Pay invoice	False	109471	Bank account 7222165	2017-07-29 17:57:32	2017-07-29 17:57:32	Finance	Medge Patel
Final check of invoice	True	109504	Checked by System	2017-08-13 12:22:18	2017-08-13 12:22:18	Auto-processor	System
Approve invoice	False	109538	Approve hierarchy (level 3)	2017-08-11 10:52:02	2017-08-11 10:52:02	Administration	Aaron Downs
Pay invoice	False	109561	Bank account 7972240	2017-07-30 10:57:44	2017-07-30 10:57:44	Finance	Rebecca Love
Approve invoice	False	109634	Approve hierarchy (level 3)	2017-07-31 13:50:21	2017-07-30 23:51:34.800	Financial approval	Neil Vega
Approve invoice	False	109655	Approve hierarchy (level 1)	2017-07-30 11:04:22	2017-07-30 11:04:22	Other	Emery Clark
Approve invoice	False	109692	Approve hierarchy (level 3)	2017-08-07 15:52:26	2017-08-03 15:51:51	Line management	Eden Morrow
Approve invoice	False	109697	Approve hierarchy (level 1)	2017-08-05 16:21:24	2017-08-05 15:59:30.500	Financial approval	Lunea Fitzgerald
Pay invoice	False	109829	Bank account 5522476	2017-08-04 11:08:50	2017-08-04 11:08:50	Finance	Medge Patel
Approve invoice	False	109873	Approve hierarchy (level 1)	2017-08-04 15:04:42	2017-08-04 15:03:40.400	Financial approval	Xerxes Espinoza
Approve invoice	False	110058	Approve hierarchy (level 1)	2017-08-07 10:02:14		Other	Kaye Morrow
Request data	False	110064	Request sent: 2017-08-05	2017-08-05 14:29:33	2017-08-05 12:32:56.667	Controlling	Clio Butler
Pay invoice	False	110150	Bank account 8381425	2017-08-17 10:55:06	2017-08-17 10:40:06.667	Controlling	Alan Boyer
Final check of invoice	False	110186	Checked by Oscar Medina	2017-08-10 17:19:56		Other	Oscar Medina
Approve invoice	False	110214	Approve hierarchy (level 1)	2017-08-07 08:51:14	2017-08-07 08:51:14	Other	Morgan Whitfield
Approve invoice	True	110388	Approve hierarchy (level 3)	2017-08-10 15:33:22	2017-08-10 15:33:22	Auto-processor	System
Pay invoice	False	110401	Bank account 5851653	2017-08-25 13:28:08	2017-08-25 13:28:08	Administration	Kyla Jackson
Approve invoice	False	110456	Approve hierarchy (level 1)	2017-08-10 10:47:13	2017-08-10 10:47:13	Other	Roanna Parsons
Approve invoice	False	110530	Approve hierarchy (level 3)	2017-08-18 10:54:31	2017-08-18 05:01:40.333	Line management	Kiona Sanchez
Final check of invoice	False	114778	Checked by Morgan Whitfield	2017-09-21 13:35:39	2017-09-21 13:35:39	Other	Morgan Whitfield
Final check of invoice	False	114801	Checked by Diana Vincent	2017-09-22 07:42:11	2017-09-22 07:42:11	Other	Diana Vincent
Request data	False	114816	Request sent: 2017-09-22	2017-09-22 18:05:50	2017-09-22 06:59:01.333	Controlling	Gary Le
Approve invoice	False	114827	Approve hierarchy (level 1)	2017-09-28 13:27:10	2017-09-28 13:27:10	Other	Jermaine Fernandez
Approve invoice	False	114905	Approve hierarchy (level 1)	2017-09-29 11:29:40	2017-09-29 11:29:40	Other	Tyler Small
Final check of invoice	False	114947	Checked by Emmanuel Durham	2017-09-23 10:35:49	2017-09-23 10:35:49	Other	Emmanuel Durham
Approve invoice	False	115045	Approve hierarchy (level 2)	2017-09-23 11:24:27	2017-09-23 11:24:27	Other	Selma Griffin
Request data	False	115099	Request sent: 2017-09-23	2017-09-23 15:11:46	2017-09-23 12:14:41.333	Controlling	Alan Boyer
Approve invoice	False	115193	Approve hierarchy (level 3)	2017-09-30 10:54:01	2017-09-30 10:54:01	Other	Raymond Mercado
Checked and approved	False	115254	Checked by Autumn Higgins	2017-09-25 08:50:08	2017-09-25 08:46:46.667	Line management	Autumn Higgins
Approve invoice	False	115290	Approve hierarchy (level 2)	2017-09-30 15:30:17	2017-09-30 15:30:17	Other	Natalie Bowen
Pay invoice	False	115291	Bank account 5111897	2017-10-05 11:19:18	2017-10-05 11:19:18	Finance	Rebecca Love
Checked and approved	False	115316	Checked by Autumn Higgins	2017-09-28 09:56:36	2017-09-26 10:49:08.667	Line management	Autumn Higgins
Approve invoice	False	115437	Approve hierarchy (level 2)	2017-09-29 11:14:22	2017-09-29 04:24:02.667	Financial approval	Norman Calhoun
Pay invoice	False	115478	Bank account 6512037	2017-09-29 14:23:51	2017-09-29 14:23:51	Administration	Hunter Garcia
Approve invoice	False	115556	Approve hierarchy (level 1)	2017-09-30 12:22:22		Other	Kaye Morrow
Pay invoice	False	115564	Bank account 7252111	2017-10-07 17:41:57	2017-10-07 17:41:57	Finance	Rebecca Love
Final check of invoice	False	115624	Checked by Haviva Hernandez	2017-09-30 11:12:16	2017-09-30 11:12:16	Other	Haviva Hernandez
Approve invoice	False	115885	Approve hierarchy (level 1)	2017-10-06 07:30:39	2017-10-06 07:30:39	Other	Emery Clark
Pay invoice	False	115994	Bank account 6252492	2017-10-27 15:52:48	2017-10-21 12:24:11	Controlling	Knox Gonzalez
Check received invoice	False	116024	Checked by Fiona Luna	2017-10-05 09:00:54	2017-10-05 09:00:53.200	Controlling	Fiona Luna
Approve invoice	False	116109	Approve hierarchy (level 2)	2017-10-06 12:35:51	2017-10-06 12:35:51	Other	Jack Maynard
Pay invoice	False	116173	Bank account 7872654	2017-10-12 11:03:56	2017-10-12 10:42:31.200	Controlling	Fiona Luna
Approve invoice	False	116458	Approve hierarchy (level 2)	2017-10-08 12:14:25		Other	Kaye Morrow
Approve invoice	False	116644	Approve hierarchy (level 3)	2017-10-09 14:25:35	2017-10-09 07:10:43	Line management	Kiona Sanchez
Request data	False	116659	Request sent: 2017-10-08	2017-10-08 14:30:24	2017-10-08 14:25:30.667	Controlling	Clio Butler
Pay invoice	False	116818	Bank account 8541865	2017-11-04 15:45:32	2017-11-04 15:23:01.600	Controlling	Fiona Luna
Pay invoice	False	116832	Bank account 8681879	2017-10-12 11:34:39	2017-10-12 11:34:39	Administration	Hunter Garcia
Final check of invoice	False	116881	Checked by Uma Rocha	2017-10-12 09:14:46	2017-10-12 09:14:46	Other	Uma Rocha
Check contract conditions	False	116983	Checked by Fiona Luna	2017-10-12 14:25:30	2017-10-12 14:25:29.200	Controlling	Fiona Luna
Pay invoice	False	117010	Bank account 5352027	2017-10-12 15:37:56	2017-10-12 15:37:56	Administration	Hunter Garcia
Final check of invoice	False	117090	Checked by Kirk Winters	2017-10-13 11:33:14	2017-10-13 11:33:14	Other	Kirk Winters
Approve invoice	True	117139	Approve hierarchy (level 3)	2017-10-29 20:01:13	2017-10-29 20:01:13	Auto-processor	System
Approve invoice	False	117181	Approve hierarchy (level 1)	2017-10-15 14:38:46	2017-10-15 08:07:11.250	Financial approval	Jemima Woods
Checked and approved	False	117265	Checked by Kelsey Hoover	2017-10-15 09:36:04	2017-10-14 12:50:18	Line management	Kelsey Hoover
Approve invoice	False	117323	Approve hierarchy (level 3)	2017-10-19 15:04:33	2017-10-18 06:25:13	Financial approval	Claire Frost
Pay invoice	False	117349	Bank account 8222314	2017-10-15 14:41:33	2017-10-15 14:41:33	Finance	Medge Patel
Approve invoice	False	117417	Approve hierarchy (level 3)	2017-10-19 08:30:07	2017-10-19 08:30:07	Other	Jack Maynard
Approve invoice	False	117442	Approve hierarchy (level 2)	2017-10-16 08:58:53	2017-10-16 08:12:27.333	Financial approval	Norman Calhoun
Pay invoice	False	117453	Bank account 9002392	2017-10-22 15:08:55	2017-10-22 15:08:55	Finance	Medge Patel
Approve invoice	False	117513	Approve hierarchy (level 2)	2017-10-28 11:31:05	2017-10-28 11:31:05	Other	Kay Farley
Pay invoice	False	117524	Bank account 4862459	2017-10-19 17:07:48	2017-10-19 17:06:04.800	Controlling	Fiona Luna
Pay invoice	False	117580	Bank account 5142487	2017-10-19 09:25:12	2017-10-19 09:25:12	Finance	Medge Patel
Approve invoice	True	117596	Approve hierarchy (level 3)	2017-11-10 11:23:04	2017-11-10 11:23:04	Auto-processor	System
Check received invoice	False	117688	Checked by Tarik Cohen	2017-10-16 16:15:36	2017-10-16 16:15:36	Administration	Tarik Cohen
Final check of invoice	True	117879	Checked by System	2017-10-20 14:03:07	2017-10-20 14:03:07	Auto-processor	System
Approve invoice	False	117939	Approve hierarchy (level 1)	2017-10-22 14:42:25	2017-10-22 14:42:25	Other	Abraham Gomez
Approve invoice	False	118148	Approve hierarchy (level 3)	2017-10-22 14:51:51	2017-10-22 14:51:51	Other	Taylor Nixon
Pay invoice	False	118186	Bank account 8921528	2017-10-23 14:44:16	2017-10-23 14:44:16	Finance	Medge Patel
Check received invoice	False	118220	Checked by Alan Boyer	2017-10-23 08:45:38	2017-10-23 08:45:37.333	Controlling	Alan Boyer
Check received invoice	False	118428	Checked by Medge Patel	2017-10-27 16:45:29	2017-10-27 16:45:29	Finance	Medge Patel
Pay invoice	False	118590	Bank account 6361753	2017-11-18 15:13:01	2017-11-18 10:55:12	Controlling	Knox Gonzalez
Approve invoice	False	118608	Approve hierarchy (level 2)	2017-11-03 12:22:46	2017-11-03 12:22:46	Other	Tyler Small
Check received invoice	False	118632	Checked by Hunter Garcia	2017-11-02 17:15:43	2017-11-02 17:15:43	Administration	Hunter Garcia
Final check of invoice	True	118732	Checked by System	2017-11-19 13:45:49	2017-11-19 13:45:49	Auto-processor	System
Final check of invoice	True	118745	Checked by System	2017-11-04 12:54:23	2017-11-04 12:54:23	Auto-processor	System
Final check of invoice	False	118765	Checked by Yolanda Mcneil	2017-11-04 13:13:28		Other	Yolanda Mcneil
Check received invoice	False	118819	Checked by Clio Butler	2017-11-04 12:46:34	2017-11-04 12:46:33.667	Controlling	Clio Butler
Approve invoice	False	118862	Approve hierarchy (level 3)	2017-11-05 13:10:02	2017-11-05 12:51:34.600	Financial approval	Xerxes Espinoza
Pay invoice	False	118972	Bank account 9302047	2017-11-09 08:48:56	2017-11-09 08:48:56	Administration	Hunter Garcia
Final check of invoice	True	119003	Checked by System	2017-12-01 09:25:42	2017-12-01 09:25:42	Auto-processor	System
Check received invoice	False	119025	Checked by Tarik Cohen	2017-11-05 18:30:24	2017-11-05 18:30:24	Administration	Tarik Cohen
Final check of invoice	False	119103	Checked by Lester Conley	2017-11-09 12:59:43	2017-11-09 12:59:43	Other	Lester Conley
Approve invoice	False	119187	Approve hierarchy (level 3)	2017-12-10 10:02:13		Other	Oscar Medina
Request data	False	119518	Request sent: 2017-11-16	2017-11-20 14:50:21	2017-11-16 23:48:14.600	Controlling	Fiona Luna
Approve invoice	False	119561	Approve hierarchy (level 2)	2017-11-20 10:19:11	2017-11-20 10:19:11	Other	Kylie Guy
Pay invoice	False	119696	Bank account 5772656	2017-11-16 16:37:40	2017-11-16 16:37:40	Finance	Medge Patel
Approve invoice	False	119812	Approve hierarchy (level 1)	2017-11-17 14:23:19	2017-11-17 14:23:19	Other	Ciaran Mitchell
Check received invoice	False	119828	Checked by Tarik Cohen	2017-11-17 11:15:20	2017-11-17 11:15:20	Administration	Tarik Cohen
Final check of invoice	True	119843	Checked by System	2017-12-31 13:16:32	2017-12-31 13:16:32	Auto-processor	System
Final check of invoice	False	119871	Checked by Blaze Barber	2017-12-28 11:48:59	2017-12-26 07:00:27.600	Purchasing	Blaze Barber
Approve invoice	False	119900	Approve hierarchy (level 3)	2017-11-19 08:43:33	2017-11-19 08:43:33	Other	Caesar Donaldson
Check received invoice	False	120012	Checked by Macy Hurst	2017-11-19 12:30:05	2017-11-19 12:30:04.333	Controlling	Macy Hurst
Request data	False	120024	Request sent: 2017-11-27	2017-12-01 11:30:28	2017-11-27 11:55:32	Controlling	Gary Le
Approve invoice	False	120180	Approve hierarchy (level 2)	2017-11-24 09:45:45	2017-11-24 09:45:45	Other	Celeste Sharp
Pay invoice	False	120253	Bank account 5481771	2017-11-25 14:58:19	2017-11-25 14:05:25	Controlling	Fiona Luna
Final check of invoice	False	120289	Checked by Justine Monroe	2017-11-25 10:23:14	2017-11-25 03:55:26.750	Purchasing	Justine Monroe
Final check of invoice	False	120374	Checked by Blaze Barber	2017-11-26 10:10:47	2017-11-26 01:26:39.400	Purchasing	Blaze Barber
Approve invoice	False	120419	Approve hierarchy (level 2)	2017-11-26 10:57:02	2017-11-26 10:57:02	Other	Emery Clark
Check received invoice	False	120519	Checked by Tarik Cohen	2017-11-25 17:00:41	2017-11-25 17:00:41	Administration	Tarik Cohen
Check received invoice	False	120542	Checked by Hunter Garcia	2017-11-26 12:00:37	2017-11-26 12:00:37	Administration	Hunter Garcia
Approve invoice	False	120607	Approve hierarchy (level 1)	2017-12-09 14:26:32	2017-12-09 14:26:32	Other	Colorado Trevino
Approve invoice	False	120662	Approve hierarchy (level 3)	2017-11-30 12:54:34	2017-11-30 12:54:34	Other	Keefe Rasmussen
Pay invoice	False	120659	Bank account 8752098	2017-12-09 09:05:26		Finance	Cullen Combs
Final check of invoice	False	120691	Checked by Aaron Downs	2017-11-30 12:24:37	2017-11-30 12:24:37	Administration	Aaron Downs
Approve invoice	False	120827	Approve hierarchy (level 3)	2017-12-14 14:47:59	2017-12-13 05:33:23	Line management	Kiona Sanchez
Pay invoice	False	121007	Bank account 6762380	2017-12-08 14:52:00	2017-12-08 14:52:00	Administration	Hunter Garcia
Request data	False	121095	Request sent: 2017-12-03	2017-12-03 16:35:18	2017-12-03 16:04:04	Controlling	Clio Butler
Pay invoice	False	121119	Bank account 7712475	2017-12-14 08:51:16	2017-12-14 08:51:16	Administration	Hunter Garcia
Request data	False	121230	Request sent: 2017-12-08	2017-12-08 10:50:19	2017-12-08 00:36:24.200	Controlling	Fiona Luna
Approve invoice	False	121238	Approve hierarchy (level 2)	2017-12-10 10:21:55		Other	Oscar Medina
Approve invoice	False	121358	Approve hierarchy (level 3)	2017-12-11 15:49:51	2017-12-11 15:49:51	Other	Paula Duffy
Approve invoice	False	121450	Approve hierarchy (level 3)	2017-12-15 14:06:13	2017-12-15 14:06:13	Other	Caesar Donaldson
Check received invoice	False	121641	Checked by Tarik Cohen	2017-12-10 16:15:21	2017-12-10 16:15:21	Administration	Tarik Cohen
Check contract conditions	False	121680	Checked by Alan Boyer	2017-12-14 15:27:24	2017-12-14 13:07:43.333	Controlling	Alan Boyer
Final check of invoice	False	121701	Checked by Alden Baxter	2017-12-14 11:28:54	2017-12-13 17:40:32.750	Purchasing	Alden Baxter
Approve invoice	False	121759	Approve hierarchy (level 2)	2017-12-21 16:24:33	2017-12-21 16:24:33	Other	Renee Turner
Pay invoice	False	121890	Bank account 9221770	2017-12-16 14:34:00	2017-12-16 14:34:00	Administration	Tanner Wiggins
Pay invoice	False	121917	Bank account 9491797	2017-12-22 17:44:45	2017-12-22 17:44:45	Finance	Medge Patel
Approve invoice	False	121926	Approve hierarchy (level 3)	2017-12-17 07:40:36		Other	Steven Strong
Pay invoice	False	122085	Bank account 6171946	2018-01-27 15:43:52	2018-01-27 15:36:09.667	Controlling	Gary Le
Final check of invoice	False	122201	Checked by Hammett Herman	2017-12-22 11:09:03	2017-12-22 11:09:03	Other	Hammett Herman
Approve invoice	False	122248	Approve hierarchy (level 1)	2017-12-28 13:59:57		Other	Kaye Morrow
Check received invoice	False	122250	Checked by Medge Patel	2017-12-21 13:16:11	2017-12-21 13:16:11	Finance	Medge Patel
Final check of invoice	True	122293	Checked by System	2018-01-21 09:42:59	2018-01-21 09:42:59	Auto-processor	System
Final check of invoice	False	122430	Checked by Aladdin Middleton	2018-01-22 09:31:03	2018-01-19 09:28:31	Purchasing	Aladdin Middleton
Request data	False	122435	Request sent: 2017-12-24	2017-12-25 12:30:00	2017-12-24 17:41:16	Controlling	Alan Boyer
Pay invoice	False	122437	Bank account 9092238	2018-01-19 08:20:42	2018-01-18 22:47:53.200	Controlling	Fiona Luna
Approve invoice	False	122471	Approve hierarchy (level 3)	2018-01-06 15:30:58	2017-12-31 17:03:59	Financial approval	Daphne Gordon
Approve invoice	False	122587	Approve hierarchy (level 1)	2018-01-07 14:53:45	2018-01-07 03:55:24	Line management	Eden Morrow
Approve invoice	False	122602	Approve hierarchy (level 2)	2018-01-25 10:27:26	2018-01-24 00:18:45.500	Line management	Eden Morrow
Check received invoice	False	122688	Checked by Alan Boyer	2017-12-24 17:15:16	2017-12-24 17:15:15.333	Controlling	Alan Boyer
Pay invoice	False	122697	Bank account 6392449	2017-12-29 08:28:26	2017-12-29 08:28:26	Administration	Hunter Garcia
Pay invoice	False	122732	Bank account 6682478	2017-12-28 12:23:00	2017-12-28 12:23:00	Finance	Medge Patel
Approve invoice	False	122801	Approve hierarchy (level 1)	2018-01-05 12:53:38	2017-12-29 16:21:22	Financial approval	Daphne Gordon
Approve invoice	True	122812	Approve hierarchy (level 1)	2018-01-05 15:16:17	2018-01-05 15:16:17	Auto-processor	System
Final check of invoice	True	122827	Checked by System	2017-12-29 10:57:43	2017-12-29 10:57:43	Auto-processor	System
Final check of invoice	False	122846	Checked by Quintessa Crosby	2017-12-29 11:28:00	2017-12-29 11:28:00	Other	Quintessa Crosby
Checked and approved	False	122869	Checked by Autumn Higgins	2017-12-29 10:56:21	2017-12-29 10:39:07.667	Line management	Autumn Higgins
Pay invoice	False	122892	Bank account 7842594	2017-12-30 09:24:25	2017-12-30 03:35:17.333	Controlling	Clio Butler
